 IP Address , Computer Name , Domain , MAC Address , OfficeScan Client Status , Ping Result , Product name , Platform , OfficeScan Server , Version , Pattern File , Scan Engine , Outbreak Prevention Policy , Computer Description , Remote Installation
141.195.131.159,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.160,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.161,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.162,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.163,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.164,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.165,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.166,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.167,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.168,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.169,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.170,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.171,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.172,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.173,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.174,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.175,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.176,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.177,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.178,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.179,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.180,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.181,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.182,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.183,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.184,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.185,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.186,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.187,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.188,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.189,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.190,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.191,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.192,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.193,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.194,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.195,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.196,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.197,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.198,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.199,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.200,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.201,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.202,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.203,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.204,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.205,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.206,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.207,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.208,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.209,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.210,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.211,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.212,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.213,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.214,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.215,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.216,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.217,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.218,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.219,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.220,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.221,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.222,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.223,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.224,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.225,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.226,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.227,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.228,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.229,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.230,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.231,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.232,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.233,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.234,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.235,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.236,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.237,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.238,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.239,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.240,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.241,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.242,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.243,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.244,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.245,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.246,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.247,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.248,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.249,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.250,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.251,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.252,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.253,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.131.254,NA,,,NA," Ping successful",Undetected,Non-Windows,,,,,,,
141.195.131.255,NA,,,NA," Ping successful",Undetected,Non-Windows,,,,,,,
141.195.132.0,NA,,,NA," Ping successful",Undetected,Non-Windows,,,,,,,
141.195.132.1,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.2,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.3,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.4,bald1-4.allegheny.edu,,,NA," Ping successful",Undetected,Non-Windows,,,,,,,
141.195.132.5,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.6,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.7,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.8,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.9,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.10,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.11,bald1-11.allegheny.edu,,,NA," Ping successful",Undetected,Non-Windows,,,,,,,
141.195.132.12,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.13,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.14,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.15,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.16,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.17,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.18,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.19,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.20,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.21,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.22,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.23,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.24,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.25,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.26,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.27,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.28,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.29,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.30,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.31,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.32,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.33,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.34,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.35,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.36,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.37,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.38,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.39,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.40,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.41,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.42,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.43,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.44,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.45,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.46,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.47,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.48,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.49,,,,Unreachable,Time Out,NA,NA,,,,,,,
